policy number,Policy Effective Date,Vehicle number,Unique_ID,Rate Class,Driver Record,Territory (categorical),Territory,BI Limit,Blend Min & Maj Market Convictions for Model,# Criminal Code Convictions W/I 4 Years,# At-Fault Claims w/I 3 yrs for Market Principal,
A00-021014,2022-01-31 0:01,20,021014-20-2,2,9,Northern Region,2,1000000,2,0,0,
A00-021014,2022-01-31 0:01,21,021014-21-2,2,9,Northern Region,2,1000000,2,0,0,
A00-021015,2022-01-31 0:01,11,021015-11-2,2,9,Rest of Alberta,3,1000000,0,0,0,
A00-021021,2022-02-02 0:01,2,021021-2-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021023,2022-02-03 0:01,4,021023-4-7,7,9,Edmonton,1A,1000000,0,0,0,
A00-021027,2022-02-02 0:01,2,021027-2-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-021027,2022-02-02 0:01,5,021027-5-2,2,9,Edmonton,1A,2000000,0,0,0,
A00-021036,2022-02-06 0:01,3,021036-3-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021036,2022-02-06 0:01,4,021036-4-2,2,8,Edmonton,1A,1000000,0,0,0,
A00-021036,2022-02-06 0:01,5,021036-5-1,1,8,Edmonton,1A,1000000,0,0,0,
A00-021038,2022-02-06 0:01,3,021038-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021038,2022-02-06 0:01,4,021038-4-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021041,2022-02-06 0:01,2,021041-2-1,1,8,Edmonton,1A,1000000,0,0,0,
A00-021043,2022-02-07 0:01,6,021043-6-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021043,2022-02-07 0:01,8,021043-8-1,1,8,Edmonton,1A,1000000,0,0,0,
A00-021044,2022-02-15 0:01,5,021044-5-1,1,6,Edmonton,1A,1000000,0,0,1,
A00-021044,2022-02-15 0:01,6,021044-6-1,1,5,Edmonton,1A,1000000,0,0,0,
A00-021047,2022-02-07 0:01,6,021047-6-7,7,8,Edmonton,1A,1000000,0,0,0,
A00-021047,2022-02-07 0:01,9,021047-9-1,1,1,Edmonton,1A,1000000,0,0,0,
A00-021048,2022-02-07 0:01,3,021048-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021051,2022-02-09 0:01,1,021051-1-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021051,2022-02-09 0:01,2,021051-2-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021052,2022-02-12 0:01,1,021052-1-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021052,2022-02-12 0:01,2,021052-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021055,2022-02-10 0:01,3,021055-3-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021067,2022-02-13 0:01,10,021067-10-2,2,5,Edmonton,1A,1000000,0,0,0,
A00-021069,2022-02-15 0:01,6,021069-6-1,1,6,Edmonton,1A,1000000,0,0,0,
A00-021069,2022-02-15 0:01,7,021069-7-1,1,6,Edmonton,1A,0,0,0,0,
A00-021069,2022-02-15 0:01,9,021069-9-1,1,9,Edmonton,1A,0,0,0,0,
A00-021069,2022-02-15 0:01,10,021069-10-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021074,2022-02-17 0:01,4,021074-4-2,2,5,Edmonton,1A,2000000,1,0,0,
A00-021078,2022-02-16 0:01,4,021078-4-18,18,3,Edmonton,1A,1000000,0,0,0,
A00-021078,2022-02-16 0:01,5,021078-5-1,1,3,Edmonton,1A,1000000,0,0,0,
A00-021080,2022-02-16 0:01,4,021080-4-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021080,2022-02-16 0:01,5,021080-5-2,2,5,Edmonton,1A,1000000,0,0,1,
A00-021081,2022-02-16 0:01,3,021081-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021081,2022-02-16 0:01,4,021081-4-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021085,2022-02-17 0:01,1,021085-1-1,1,8,Calgary,1,1000000,0,0,0,
A00-021088,2022-02-17 0:01,4,021088-4-1,1,5,Edmonton,1A,1000000,0,0,0,
A00-021091,2022-02-20 0:01,6,021091-6-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021091,2022-02-20 0:01,7,021091-7-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021093,2022-02-21 0:01,5,021093-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021096,2022-02-22 0:01,5,021096-5-1,1,7,Calgary,1,1000000,0,0,0,
A00-021096,2022-02-22 0:01,6,021096-6-1,1,9,Calgary,1,1000000,0,0,0,
A00-021099,2022-02-23 0:01,6,021099-6-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021105,2022-02-23 0:01,5,021105-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021108,2022-02-24 0:01,4,021108-4-2,2,4,Edmonton,1A,1000000,0,0,0,
A00-021109,2022-02-24 0:01,4,021109-4-1,1,6,Edmonton,1A,1000000,0,0,1,
A00-021109,2022-02-24 0:01,5,021109-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021113,2022-02-27 0:01,7,021113-7-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-021125,2022-03-01 0:01,2,021125-2-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021127,2022-03-02 0:01,2,021127-2-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-021127,2022-03-02 0:01,3,021127-3-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-021130,2022-03-01 0:01,5,021130-5-1,1,5,Edmonton,1A,1000000,0,0,0,
A00-021130,2022-03-01 0:01,6,021130-6-1,1,5,Edmonton,1A,1000000,0,0,0,
A00-021133,2022-03-01 0:01,2,021133-2-1,1,5,Edmonton,1A,1000000,0,0,0,
A00-021146,2022-03-05 0:01,5,021146-5-7,7,9,Edmonton,1A,1000000,0,0,0,
A00-021146,2022-03-05 0:01,6,021146-6-2,2,6,Edmonton,1A,1000000,0,0,0,
A00-021148,2022-04-01 0:01,2,021148-2-1,1,9,Rest of Alberta,3,2000000,0,0,0,
A00-021148,2022-04-01 0:01,4,021148-4-1,1,5,Rest of Alberta,3,2000000,0,0,0,
A00-021152,2022-03-07 0:01,4,021152-4-2,2,6,Edmonton,1A,1000000,0,0,0,
A00-021158,2022-03-10 0:01,3,021158-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021171,2022-03-15 0:01,1,021171-1-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-021173,2022-03-12 0:01,4,021173-4-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021174,2022-03-12 0:01,3,021174-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021175,2022-03-12 0:01,5,021175-5-1,1,9,Northern Region,2,1000000,0,0,0,
A00-021177,2022-03-14 0:01,5,021177-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021186,2022-03-16 0:01,1,021186-1-2,2,6,Rest of Alberta,3,1000000,0,0,0,
A00-021186,2022-03-16 0:01,1,021186-1-2,2,6,Rest of Alberta,3,1000000,0,0,0,
A00-021187,2022-03-15 0:01,11,021187-11-1,1,7,Edmonton,1A,1000000,0,0,0,
A00-021187,2022-03-15 0:01,22,021187-22-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021187,2022-03-15 0:01,25,021187-25-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021188,2022-03-16 0:01,2,021188-2-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021190,2022-03-16 0:01,2,021190-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021193,2022-03-16 0:01,2,021193-2-1,1,6,Edmonton,1A,0,0,0,0,
A00-021193,2022-03-16 0:01,4,021193-4-2,2,6,Edmonton,1A,1000000,0,0,0,
A00-021196,2022-03-18 0:01,1,021196-1-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021198,2022-03-16 0:01,2,021198-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021199,2022-03-16 0:01,2,021199-2-2,2,9,Rest of Alberta,3,1000000,0,0,0,
A00-021202,2022-04-07 0:01,3,021202-3-2,2,9,Edmonton,1A,2000000,0,0,0,
A00-021203,2022-03-19 0:01,10,021203-10-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-021203,2022-03-19 0:01,11,021203-11-2,2,9,Rest of Alberta,3,1000000,0,0,0,
A00-021205,2022-03-19 0:01,1,021205-1-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021207,2022-03-20 0:01,9,021207-9-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021208,2022-04-26 0:01,9,021208-9-1,1,3,Edmonton,1A,1000000,0,0,0,
A00-021209,2022-03-20 0:01,5,021209-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021209,2022-03-20 0:01,8,021209-8-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021210,2022-03-20 0:01,16,021210-16-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-021210,2022-03-20 0:01,28,021210-28-1,1,6,Rest of Alberta,3,1000000,0,0,0,
A00-021211,2022-03-20 0:01,2,021211-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021211,2022-03-20 0:01,6,021211-6-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021213,2022-03-20 0:01,2,021213-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021214,2022-03-21 0:01,6,021214-6-7,7,5,Edmonton,1A,1000000,0,0,0,
A00-021217,2022-03-24 0:01,2,021217-2-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021219,2022-03-30 0:01,4,021219-4-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021220,2022-04-28 0:01,2,021220-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021220,2022-04-28 0:01,4,021220-4-66,66,9,Edmonton,1A,0,0,0,0,
A00-021220,2022-04-28 0:01,5,021220-5-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021220,2022-04-28 0:01,6,021220-6-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021225,2022-03-26 0:01,3,021225-3-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021227,2022-03-23 0:01,2,021227-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021228,2022-04-03 0:01,1,021228-1-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021229,2022-03-26 0:01,5,021229-5-2,2,6,Edmonton,1A,1000000,0,0,1,
A00-021229,2022-03-26 0:01,6,021229-6-1,1,7,Edmonton,1A,1000000,0,0,0,
A00-021233,2022-03-23 0:01,2,021233-2-7,7,9,Edmonton,1A,1000000,0,0,0,
A00-021235,2022-03-23 0:01,7,021235-7-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021237,2022-03-23 0:01,2,021237-2-1,1,7,Rest of Alberta,3,2000000,0,0,0,
A00-021237,2022-03-23 0:01,3,021237-3-1,1,9,Rest of Alberta,3,2000000,0,0,0,
A00-021240,2022-03-23 0:01,4,021240-4-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021244,2022-03-26 0:01,21,021244-21-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021244,2022-03-26 0:01,23,021244-23-19,19,3,Edmonton,1A,1000000,0,0,0,
A00-021244,2022-03-26 0:01,26,021244-26-1,1,9,Edmonton,1A,0,0,0,0,
A00-021244,2022-03-26 0:01,28,021244-28-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021244,2022-03-26 0:01,29,021244-29-19,19,3,Edmonton,1A,1000000,0,0,0,
A00-021245,2022-03-26 0:01,4,021245-4-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021246,2022-03-26 0:01,3,021246-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021246,2022-03-26 0:01,4,021246-4-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021247,2022-03-28 0:01,6,021247-6-2,2,9,Calgary,1,2000000,0,0,0,
A00-021248,2022-04-28 0:01,13,021248-13-2,2,9,Rest of Alberta,3,1000000,0,0,0,
A00-021254,2022-03-27 0:01,1,021254-1-1,1,9,Rest of Alberta,3,0,0,0,0,
A00-021254,2022-03-27 0:01,9,021254-9-13,13,2,Rest of Alberta,3,1000000,0,0,0,
A00-021254,2022-03-27 0:01,11,021254-11-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-021254,2022-03-27 0:01,12,021254-12-2,2,8,Rest of Alberta,3,1000000,0,0,0,
A00-021255,2022-03-27 0:01,4,021255-4-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021256,2022-03-28 0:01,5,021256-5-1,1,9,Northern Region,2,1000000,0,0,0,
A00-021258,2022-03-28 0:01,2,021258-2-1,1,0,Edmonton,1A,1000000,0,0,1,
A00-021261,2022-03-29 0:01,3,021261-3-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021264,2022-03-29 0:01,2,021264-2-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021264,2022-03-29 0:01,3,021264-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021265,2022-03-29 0:01,9,021265-9-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021265,2022-03-29 0:01,10,021265-10-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021265,2022-03-29 0:01,11,021265-11-1,1,9,Edmonton,1A,0,0,0,0,
A00-021265,2022-03-29 0:01,13,021265-13-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021266,2022-03-31 0:01,6,021266-6-66,66,9,Edmonton,1A,0,0,0,0,
A00-021266,2022-03-31 0:01,7,021266-7-1,1,5,Edmonton,1A,1000000,0,0,0,
A00-021266,2022-03-31 0:01,9,021266-9-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021268,2022-03-30 0:01,2,021268-2-1,1,8,Rest of Alberta,3,0,0,0,0,
A00-021268,2022-03-30 0:01,5,021268-5-2,2,8,Rest of Alberta,3,1000000,0,0,0,
A00-021269,2022-03-30 0:01,2,021269-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021270,2022-03-31 0:01,1,021270-1-2,2,9,Rest of Alberta,3,2000000,0,0,0,
A00-021272,2022-03-30 0:01,5,021272-5-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021276,2022-04-02 0:01,6,021276-6-1,1,8,Edmonton,1A,1000000,0,0,0,
A00-021288,2022-04-04 0:01,3,021288-3-1,1,5,Edmonton,1A,1000000,0,0,0,
A00-021298,2022-04-05 0:01,3,021298-3-1,1,9,Edmonton,1A,0,0,0,0,
A00-021298,2022-04-05 0:01,4,021298-4-1,1,7,Edmonton,1A,1000000,0,0,0,
A00-021298,2022-04-05 0:01,6,021298-6-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021301,2022-04-05 0:01,2,021301-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021303,2022-04-08 0:01,17,021303-17-5,5,0,Edmonton,1A,1000000,0,0,1,
A00-021303,2022-04-08 0:01,17,021303-17-2,2,7,Edmonton,1A,1000000,0,0,0,
A00-021306,2022-04-05 0:01,3,021306-3-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-021308,2022-04-09 0:01,3,021308-3-2,2,5,Edmonton,1A,1000000,0,0,0,
A00-021309,2022-04-09 0:01,5,021309-5-7,7,9,Edmonton,1A,1000000,0,0,0,
A00-021309,2022-04-09 0:01,6,021309-6-2,2,7,Edmonton,1A,1000000,0,0,0,
A00-021310,2022-04-10 0:01,1,021310-1-1,1,3,Edmonton,1A,1000000,0,0,0,
A00-021310,2022-04-10 0:01,2,021310-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021318,2022-05-05 0:01,3,021318-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021318,2022-05-05 0:01,4,021318-4-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021319,2022-04-11 0:01,27,021319-27-1,1,9,Edmonton,1A,0,0,0,0,
A00-021319,2022-04-11 0:01,31,021319-31-1,1,9,Edmonton,1A,0,0,0,0,
A00-021319,2022-04-11 0:01,33,021319-33-1,1,9,Edmonton,1A,0,0,0,0,
A00-021319,2022-04-11 0:01,34,021319-34-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021319,2022-04-11 0:01,35,021319-35-1,1,9,Edmonton,1A,0,0,0,0,
A00-021319,2022-04-11 0:01,36,021319-36-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021320,2022-04-16 0:01,3,021320-3-1,1,5,Edmonton,1A,1000000,0,0,0,
A00-021321,2022-04-11 0:01,6,021321-6-1,1,8,Edmonton,1A,1000000,0,0,0,
A00-021323,2022-04-12 0:01,2,021323-2-1,1,7,Edmonton,1A,1000000,0,0,0,
A00-021323,2022-04-12 0:01,6,021323-6-19,19,4,Edmonton,1A,1000000,0,0,0,
A00-021325,2022-04-12 0:01,4,021325-4-2,2,6,Northern Region,2,1000000,0,0,1,
A00-021325,2022-04-12 0:01,9,021325-9-1,1,9,Northern Region,2,1000000,0,0,0,
A00-021327,2022-04-13 0:01,3,021327-3-1,1,6,Edmonton,1A,1000000,0,0,0,
A00-021327,2022-04-13 0:01,5,021327-5-5,5,3,Edmonton,1A,1000000,0,0,0,
A00-021327,2022-04-13 0:01,5,021327-5-1,1,6,Edmonton,1A,1000000,0,0,0,
A00-021331,2022-04-16 0:01,2,021331-2-1,1,9,Edmonton,1A,0,0,0,0,
A00-021331,2022-04-16 0:01,3,021331-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021333,2022-04-17 0:01,1,021333-1-19,19,3,Edmonton,1A,1000000,0,0,0,
A00-021333,2022-04-17 0:01,2,021333-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021334,2022-04-17 0:01,5,021334-5-2,2,5,Edmonton,1A,1000000,0,0,0,
A00-021335,2022-04-17 0:01,16,021335-16-1,1,3,Rest of Alberta,3,500000,0,0,0,
A00-021342,2022-04-19 0:01,3,021342-3-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-021343,2022-04-19 0:01,18,021343-18-1,1,6,Edmonton,1A,1000000,0,0,0,
A00-021347,2022-04-20 0:01,2,021347-2-1,1,9,Edmonton,1A,200000,0,0,0,
A00-021352,2022-04-20 0:01,8,021352-8-2,2,6,Calgary,1,1000000,0,0,1,
A00-021354,2022-05-01 0:01,2,021354-2-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021356,2022-04-27 0:01,5,021356-5-2,2,6,Edmonton,1A,1000000,0,0,1,
A00-021362,2022-04-26 0:01,3,021362-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021362,2022-04-26 0:01,4,021362-4-1,1,1,Edmonton,1A,1000000,0,0,0,
A00-021366,2022-05-01 0:01,2,021366-2-2,2,5,Edmonton,1A,1000000,0,0,0,
A00-021368,2022-04-24 0:01,5,021368-5-1,1,6,Edmonton,1A,1000000,0,0,0,
A00-021368,2022-04-24 0:01,7,021368-7-1,1,6,Edmonton,1A,1000000,0,0,0,
A00-021374,2022-04-25 0:01,3,021374-3-2,2,9,Rest of Alberta,3,1000000,0,0,0,
A00-021378,2022-04-25 0:01,1,021378-1-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021379,2022-04-25 0:01,1,021379-1-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021381,2022-05-01 0:01,3,021381-3-1,1,9,Calgary,1,1000000,0,0,0,
A00-021381,2022-05-01 0:01,4,021381-4-1,1,6,Calgary,1,1000000,0,0,0,
A00-021383,2022-04-26 0:01,37,021383-37-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021383,2022-04-26 0:01,42,021383-42-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021383,2022-04-26 0:01,43,021383-43-18,18,1,Edmonton,1A,1000000,0,0,0,
A00-021385,2022-04-26 0:01,3,021385-3-3,3,9,Rest of Alberta,3,1000000,0,0,0,
A00-021387,2022-04-26 0:01,3,021387-3-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-021388,2022-04-26 0:01,2,021388-2-2,2,5,Edmonton,1A,1000000,1,0,2,
A00-021392,2022-04-27 0:01,6,021392-6-1,1,6,Edmonton,1A,1000000,0,0,0,
A00-021397,2022-04-29 0:01,4,021397-4-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-021400,2022-04-27 0:01,2,021400-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021400,2022-04-27 0:01,3,021400-3-1,1,7,Edmonton,1A,1000000,0,0,0,
A00-021403,2022-05-16 0:01,1,021403-1-12,12,3,Edmonton,1A,1000000,0,0,0,
A00-021403,2022-05-16 0:01,2,021403-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021403,2022-05-16 0:01,3,021403-3-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021404,2022-04-30 0:01,5,021404-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021404,2022-04-30 0:01,8,021404-8-1,1,2,Edmonton,1A,1000000,0,0,1,
A00-021404,2022-04-30 0:01,9,021404-9-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021410,2022-05-01 0:01,3,021410-3-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021410,2022-05-01 0:01,4,021410-4-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021413,2022-05-02 0:01,2,021413-2-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-021418,2022-05-03 0:01,5,021418-5-2,2,6,Edmonton,1A,1000000,0,0,1,
A00-021426,2022-05-03 0:01,1,021426-1-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021428,2022-05-04 0:01,4,021428-4-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021428,2022-05-04 0:01,6,021428-6-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021428,2022-05-04 0:01,8,021428-8-1,1,6,Edmonton,1A,1000000,0,0,0,
A00-021430,2022-05-10 0:01,2,021430-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021431,2022-05-04 0:01,4,021431-4-1,1,6,Edmonton,1A,1000000,2,0,0,
A00-021434,2022-05-04 0:01,3,021434-3-1,1,9,Calgary,1,1000000,0,0,0,
A00-021437,2022-05-04 0:01,2,021437-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021437,2022-05-04 0:01,2,021437-2-5,5,0,Edmonton,1A,1000000,0,0,1,
A00-021437,2022-05-04 0:01,3,021437-3-3,3,1,Edmonton,1A,1000000,0,0,0,
A00-021438,2022-05-04 0:01,2,021438-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021444,2022-05-07 0:01,2,021444-2-3,3,9,Edmonton,1A,1000000,0,0,0,
A00-021446,2022-05-08 0:01,6,021446-6-1,1,9,Calgary,1,1000000,0,0,0,
A00-021446,2022-05-08 0:01,6,021446-6-6,6,0,Calgary,1,1000000,0,0,1,
A00-021446,2022-05-08 0:01,8,021446-8-1,1,9,Calgary,1,1000000,0,0,0,
A00-021449,2022-05-08 0:01,1,021449-1-6,6,1,Edmonton,1A,1000000,0,0,0,
A00-021449,2022-05-08 0:01,1,021449-1-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021449,2022-05-08 0:01,2,021449-2-1,1,9,Calgary,1,1000000,0,0,0,
A00-021454,2022-05-10 0:01,4,021454-4-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021456,2022-05-11 0:01,3,021456-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021456,2022-05-11 0:01,4,021456-4-1,1,8,Edmonton,1A,1000000,0,0,0,
A00-021462,2022-05-23 0:01,5,021462-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021468,2022-05-11 0:01,3,021468-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021471,2022-05-14 0:01,4,021471-4-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021474,2022-05-14 0:01,1,021474-1-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021476,2022-06-01 0:01,2,021476-2-11,11,1,Rest of Alberta,3,1000000,0,0,0,
A00-021476,2022-06-01 0:01,3,021476-3-2,2,9,Rest of Alberta,3,1000000,0,0,0,
A00-021477,2022-05-14 0:01,6,021477-6-1,1,1,Edmonton,1A,1000000,0,0,1,
A00-021477,2022-05-14 0:01,7,021477-7-1,1,7,Edmonton,1A,1000000,0,0,0,
A00-021482,2022-05-15 0:01,3,021482-3-2,2,5,Edmonton,1A,1000000,0,0,0,
A00-021482,2022-05-15 0:01,3,021482-3-5,5,1,Edmonton,1A,1000000,0,0,0,
A00-021483,2022-05-15 0:01,3,021483-3-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021486,2022-05-15 0:01,3,021486-3-7,7,9,Edmonton,1A,1000000,0,0,0,
A00-021489,2022-05-15 0:01,3,021489-3-3,3,9,Rest of Alberta,3,1000000,0,0,0,
A00-021492,2022-05-15 0:01,2,021492-2-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021495,2022-06-08 0:01,6,021495-6-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-021495,2022-06-08 0:01,8,021495-8-1,1,5,Rest of Alberta,3,1000000,0,0,0,
A00-021498,2022-05-17 0:01,4,021498-4-3,3,1,Edmonton,1A,1000000,0,0,0,
A00-021498,2022-05-17 0:01,5,021498-5-1,1,9,Edmonton,1A,0,0,0,0,
A00-021498,2022-05-17 0:01,6,021498-6-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021502,2022-05-18 0:01,1,021502-1-1,1,9,Edmonton,1A,0,0,0,0,
A00-021502,2022-05-18 0:01,5,021502-5-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021508,2022-05-18 0:01,2,021508-2-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-021512,2022-06-01 0:01,6,021512-6-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021513,2022-06-01 0:01,3,021513-3-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021516,2022-05-22 0:01,2,021516-2-1,1,9,Northern Region,2,1000000,0,0,0,
A00-021516,2022-05-22 0:01,6,021516-6-1,1,9,Northern Region,2,1000000,0,0,0,
A00-021517,2022-06-01 0:01,2,021517-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021518,2022-05-23 0:01,3,021518-3-2,2,9,Edmonton,1A,1000000,0,0,0,
A00-021518,2022-05-23 0:01,6,021518-6-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021520,2022-05-23 0:01,8,021520-8-2,2,9,Edmonton,1A,2000000,0,0,0,
A00-021522,2022-05-27 0:01,7,021522-7-2,2,9,Rest of Alberta,3,2000000,0,0,0,
A00-021525,2022-05-24 0:01,2,021525-2-2,2,9,Calgary,1,1000000,0,0,0,
A00-021533,2022-05-25 0:01,2,021533-2-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-021533,2022-05-25 0:01,3,021533-3-2,2,8,Edmonton,1A,2000000,0,0,0,
A00-021533,2022-05-25 0:01,4,021533-4-5,5,3,Edmonton,1A,2000000,0,0,0,
A00-021533,2022-05-25 0:01,4,021533-4-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-021533,2022-05-25 0:01,5,021533-5-1,1,9,Edmonton,1A,2000000,0,0,0,
A00-021534,2022-05-25 0:01,4,021534-4-1,1,5,Edmonton,1A,1000000,0,0,0,
A00-021534,2022-05-25 0:01,8,021534-8-1,1,5,Edmonton,1A,1000000,0,0,0,
A00-021538,2022-05-28 0:01,2,021538-2-1,1,9,Edmonton,1A,1000000,0,0,0,
A00-021543,2022-05-29 0:01,2,021543-2-1,1,9,Rest of Alberta,3,1000000,0,0,0,
A00-021543,2022-05-29 0:01,4,021543-4-1,1,9,Rest of Alberta,3,1000000,0,0,0,
